1/31/2008	Panel 1a	in CLAS 12 Coordinates 			
counter #	X (in)	Z(in)	L (in)		
1	29.965	274.234	12.71		
2	35.37112595	271.7130821	18.95245654		
3	40.7772519	269.1921641	25.19491309		
4	46.18337785	266.6712462	31.43736963		
5	51.5895038	264.1503283	37.67982618		
6	56.99562975	261.6294103	41.92228272		
7	62.4017557	259.1084924	48.16473927		
8	67.80788165	256.5875745	54.40719581		
9	73.2140076	254.0666565	60.64965236		
10	78.62013355	251.5457386	66.8921089		
11	84.0262595	249.0248207	73.13456545		
12	89.43238545	246.5039028	79.37702199		
13	94.8385114	243.9829848	85.61947854		
14	100.2446373	241.4620669	91.86193508		
15	105.6507633	238.941149	98.10439162		
16	111.0568892	236.420231	104.3468482		
17	116.4630152	233.8993131	110.5893047		
18	121.8691411	231.3783952	116.8317613		
19	127.2752671	228.8574772	123.0742178		
20	132.681393	226.3365593	129.3166743		
21	138.087519	223.8156414	135.5591309		
22	143.4936449	221.2947234	141.8015874		
23	148.8997709	218.7738055	148.044044		
					
					
	DK Calculations				
	Panel 1b			Scintillator Length	phi coverage %
	X (in)	Z (in) (hall center)	Z (in) CLAS12 center	L (in)	
1	24.30	221.38	271.50	5.99	21.34%
2	26.44	220.37	270.50	5.99	19.60%
3	28.61	219.36	269.49	10.96	33.19%
4	30.83	218.33	268.46	10.96	30.80%
5	33.06	217.29	267.42	16.11	42.19%
6	35.28	216.25	266.38	16.11	39.54%
7	37.52	215.21	265.34	21.25	49.06%
8	39.74	214.18	264.31	21.25	46.32%
9	41.97	213.13	263.26	26.40	54.46%
10	44.19	212.10	262.23	26.40	51.73%
11	46.43	211.06	261.19	31.54	58.83%
12	48.64	210.02	260.15	31.54	56.15%
13	50.88	208.98	259.11	36.68	62.44%
14	53.10	207.95	258.07	36.68	59.83%
15	55.33	206.90	257.03	41.83	65.46%
16	57.55	205.87	256.00	41.83	62.94%
17	59.79	204.82	254.95	46.97	68.03%
18	62.01	203.79	253.92	46.97	65.60%
19	64.24	202.75	252.88	52.11	70.25%
20	66.46	201.71	251.84	52.11	67.91%
21	68.70	200.67	250.80	57.26	72.18%
22	70.92	199.64	249.77	57.26	69.92%
23	73.15	198.59	248.72	62.40	73.87%
24	75.37	197.56	247.69	62.40	71.70%
25	77.61	196.52	246.65	67.54	75.37%
26	79.82	195.48	245.61	67.54	73.28%
27	82.06	194.44	244.57	72.69	76.71%
28	84.28	193.41	243.54	72.69	74.69%
29	86.52	192.36	242.49	77.83	77.91%
30	88.73	191.33	241.46	77.83	75.96%
31	90.97	190.29	240.41	82.97	78.99%
32	93.19	189.25	239.38	82.97	77.11%
33	95.42	188.21	238.34	88.12	79.97%
34	97.64	187.18	237.30	88.12	78.15%
35	99.88	186.13	236.26	93.26	80.86%
36	102.10	185.10	235.23	93.26	79.11%
37	104.33	184.05	234.18	98.40	81.68%
38	106.55	183.02	233.15	98.40	79.98%
39	108.79	181.98	232.11	103.55	82.43%
40	111.01	180.94	231.07	103.55	80.78%
41	113.24	179.90	230.03	108.69	83.12%
42	115.46	178.87	229.00	108.69	81.53%
43	117.70	177.82	227.95	113.83	83.76%
44	119.91	176.79	226.92	113.83	82.21%
45	122.15	175.75	225.87	118.98	84.35%
46	124.37	174.71	224.84	118.98	82.85%
47	126.61	173.67	223.80	124.12	84.90%
48	128.82	172.64	222.77	124.12	83.44%
49	131.06	171.59	221.72	129.27	85.42%
50	133.28	170.56	220.69	129.27	84.00%
51	135.51	169.51	219.64	134.41	85.90%
52	137.73	168.48	218.61	134.41	84.51%
53	139.97	167.44	217.57	139.55	86.35%
54	142.19	166.41	216.53	139.55	85.00%
55	144.42	165.36	215.49	144.70	86.77%
56	146.64	164.33	214.46	144.70	85.45%
57	148.88	163.28	213.41	149.84	87.16%
58	151.10	162.25	212.38	149.84	85.88%
					
					
	Panel 2				
	In inches and relative to CLAS12 coordinates				
	X (in)	Z (in)	L (in)		
1	150.1444094	206.1602205	146.18		
2	154.6888976	198.649	151.58		
3	159.2893307	191.1716378	156.98		
4	163.7781496	183.6267165	162.39		
5	168.3234252	176.1142362	167.79		
