bc404_att_length | 167.8| cm | BC-404 scintillator attenuation length used for panel-1b counters #1 to #31  | D. Carman | carman@jlab.org  | link to drawing | variable name | 03/10/2012
bc408_att_length | 226.7| cm | BC-404 scintillator attenuation length used for panel-1a, panel-2, and panel-1b counters #32 to #62  | D. Carman | carman@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.1.X | 29.965| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.1.Z | 274.234| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.1.L | 12.71| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.2.X | 35.37112595| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.2.Z | 271.7130821| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.2.L | 18.95245654| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.3.X | 40.7772519| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.3.Z | 269.1921641| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.3.L | 25.19491309| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.4.X | 46.18337785| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.4.Z | 266.6712462| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.4.L | 31.43736963| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.5.X | 51.5895038| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.5.Z | 264.1503283| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.5.L | 37.67982618| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.6.X | 56.99562975| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.6.Z | 261.6294103| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.6.L | 41.92228272| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.7.X | 62.4017557| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.7.Z | 259.1084924| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.7.L | 48.16473927| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.8.X | 67.80788165| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.8.Z | 256.5875745| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.8.L | 54.40719581| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.9.X | 73.2140076| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.9.Z | 254.0666565| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.9.L | 60.64965236| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.10.X | 78.62013355| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.10.Z | 251.5457386| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.10.L | 66.8921089| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
